id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
CVE-2020-13871,2020,src/select.c (aggregate/window parse-tree rewrite),use-after-free (read),resetAccumulator,CREATE TABLE a(b); SELECT (SELECT b FROM a GROUP BY b HAVING (SELECT COUNT()OVER() + lead(b)OVER(ORDER BY SUM(DISTINCT b)+b))) FROM a UNION SELECT 99 ORDER BY 1;,"yes - test/window1.test case 55.1, ticket c8d3b9f0a750a529",e6463a717a15ec0c7958e1bda45bd08da28188ab,3.32.3,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/e6463a717a15ec0c7958e1bda45bd08da28188ab,"Two-arm ASAN probe on the pre-fix tree a0365c487c12: with the default lookaside arena ASAN is SILENT; with -lookaside 0 0 it reports heap-use-after-free, 40 bytes inside an 88-byte region, in resetAccumulator - the function NVD names. The dangling object is an Expr held by an AggInfo; Expr comes from sqlite3DbMallocRawNN(db,sizeof(Expr)+nExtra) (src/expr.c:941), 72-88 bytes, far below the 1200-byte lookaside slot."
b5a6f33e5022,2022,src/wherecode.c (WHERE code generator),heap-buffer-overflow (write) into the neighbouring arena slot,codeEqualityTerm,"IN operator with a vector LHS reached through a RIGHT JOIN subroutine, where the loop's equality-term count is smaller than the vector width (dbsqlfuzz 14cfdad6ca45e607163f54049ddf5065183dc657)",no public single-case reproducer,b5a6f33e50224acba83da2cd446ae331736841a1,3.39.3,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/b5a6f33e50224acba83da2cd446ae331736841a1,"aiMap = sqlite3DbMallocZero(pParse->db, sizeof(int)*nEq) was sized by the equality-term count while sqlite3FindInIndex writes one int per vector term. Instrumented the identical call in the pre-fix tree: aiMap is 8 bytes and lands inside [db->lookaside.pStart, db->lookaside.pEnd) - printed lookaside=YES - so the overflow writes into the adjacent lookaside slot, never past a malloc block. NOT linked to any CVE: no SQLite check-in message mentions one."
bfd6f1bcd5d7,2021,src/select.c (GROUP BY with DISTINCT aggregate),use-after-free (write),sqlite3WhereEnd,"CREATE TABLE v1(v2 UNIQUE, v3 AS(TYPEOF(NULL)) UNIQUE); SELECT COUNT(DISTINCT TRUE) FROM v1 GROUP BY likelihood(v3,0.100000);",yes - test/distinctagg.test case 7.0,bfd6f1bcd5d7744d830e70b7bc72a27011a5e2b5,3.36.0,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/bfd6f1bcd5d7744d830e70b7bc72a27011a5e2b5,"sqlite3Select deleted the pDistinct ExprList before sqlite3WhereEnd, which still holds it. Two-arm ASAN probe on pre-fix tree 55938b5fa0cb: SILENT with the arena on; with -lookaside 0 0, heap-use-after-free, a 72-byte WRITE (memcpy) 8 bytes into an 88-byte region, in sqlite3WhereEnd. 88 bytes is a small (128-byte) lookaside slot."
fcc057db259c,2019,src/select.c convertCompoundSelectToSubquery / src/window.c,double-free,sqlite3WindowListDelete,VALUES(1) INTERSECT SELECT * WINDOW f AS () ORDER BY x COLLATE nocase;,yes - test/window1.test cases 35.1-35.4,fcc057db259c9a85fa2fdd6017bb479f72ff06b6,3.31.0,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/fcc057db259c9a85fa2fdd6017bb479f72ff06b6,"The compound-to-subquery rewrite copied the Select without clearing p->pWinDefn, so two Selects free the same Window list. Two-arm ASAN probe on pre-fix tree 0232dade7977: SILENT with the arena on; with -lookaside 0 0, heap-use-after-free 72 bytes inside a 152-byte region in sqlite3WindowListDelete. Window is 144-152 bytes = a full-size (1200-byte) lookaside slot. Under the arena the second free pushes the same slot onto db->lookaside.pFree twice, so the free list hands one slot to two owners - a type-confusion primitive rather than a crash."
CVE-2019-5018,2019,src/window.c (window-function rewrite),use-after-free,sqlite3WindowRewrite / selectWindowRewriteEList / exprListAppendList,a window-function query in which the master window's PARTITION BY expression list is deleted with the Window object and then reused by the rewrite,yes - Talos ships one (./sqlite3 -init poc); the SQL itself is not published,,,lookaside,blind,named-in-advisory,https://talosintelligence.com/vulnerability_reports/TALOS-2019-0777,"The advisory itself walks the free into SQLite's lookaside path, quoting isLookaside(db,p) and the slot-recycling code, and notes the freed slot is only poisoned in debug builds. Affected 3.26.0 and 3.27.0; vendor patched 2019-03-28 per the advisory timeline. fix_commit left empty: no fetched source names a check-in, and the candidate ones are circumstantial."
e7acce66b2f3,2018,src/btree.c (auto-vacuum pointer-map update),out-of-bounds read (4 bytes past the page buffer),ptrmapPutOvflPtr,corrupt auto-vacuum database whose cell declares a size running past the end of its b-tree page,no single-case file; the maintainer's dbfuzz2/dbsqlfuzz corpora (test/fuzzdata*.db),e7acce66b2f3bedc07e99ddf60bd3551e7bc6242,3.27.0,pcache1-bulk,blind,read-the-source,https://github.com/sqlite/sqlite/commit/e7acce66b2f3bedc07e99ddf60bd3551e7bc6242,"get4byte(&pCell[info.nSize-4]) reads past pPage->aDataEnd; the fix adds a SQLITE_WITHIN(pPage->aDataEnd,...) guard. MemPage.aData is a page-cache page buffer. By default pcache1InitBulk (src/pcache1.c:297) carves the first SQLITE_DEFAULT_PCACHE_INITSZ=20 pages of every cache out of ONE sqlite3Malloc block - measured here as a single 87360-byte allocation (20 x 4368) - and each slot is laid out [page buffer | PgHdr1 | extra] (src/pcache1.c:318). SQLite has deliberately placed the header immediately after the page buffer since 2009 so that small overreads stay mapped, which is precisely why an allocator-boundary check cannot see them."
CVE-2020-13630,2020,ext/fts3/fts3.c (FTS3 snippet),use-after-free (read),fts3EvalNextRow (faulting read in fts3SnippetAdvance),"CREATE VIRTUAL TABLE t0 USING fts3(...); INSERT INTO t0 VALUES('one','1234','aaaa','bbbb'); SELECT snippet(t0) FROM t0 WHERE t0 MATCH '(def AND (one NEAR abc)) OR one';",yes - test/fts3snippet2.test case 2.2,becd68ba0dac41904aa817d96a67fb4685734b41,3.32.0,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/becd68ba0dac41904aa817d96a67fb4685734b41,"CONTROL. Two-arm ASAN probe on pre-fix tree c48428899d5b: ASAN reports heap-use-after-free of a 216-byte region in fts3SnippetAdvance in BOTH arms, i.e. with the lookaside arena at its default. FTS3 allocates with sqlite3_realloc64/sqlite3_malloc64 (e.g. ext/fts3/fts3.c:1947), so its frees reach the system allocator and a bounds/revocation scheme sees them."
CVE-2024-0232,2023,src/json.c (JSON parser cache),use-after-free,jsonParseAddNodeArray (cache spill in jsonSetFunc/jsonReplaceFunc),"SELECT json_set('{}','$.a',json('1'),'$.a',json('2'),'$.b',json('3'),'$.b',json('4'),'$.c',json('5'),'$.c',json('6'));","yes - test/json101.test cases 22.1-22.2, forum post b25edc1d4662",faef28e6bd654e5061561423cb1ece6ca84f1f1f,3.43.2,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/faef28e6bd654e5061561423cb1ece6ca84f1f1f,"CONTROL. Two-arm ASAN probe on pre-fix tree 66dacae4c3f8: heap-use-after-free of a 96-byte region in jsonParseAddNodeArray in BOTH arms. The node array is grown with sqlite3_realloc64 and released with sqlite3_free, so the cache spill's free reaches the system allocator."
93c8139c1a97,2021,src/select.c searchWith / src/build.c sqlite3ViewGetColumnNames,use-after-free (read),searchWith,"a self-referential VIEW whose body nests three CTEs, after ALTER TABLE RENAME COLUMN, then SELECT from the view (forum post aa4a7a3980)",yes - test/with2.test cases 11.1-11.5,93c8139c1a9755a9f599966f82df45cdee85305e,3.36.0,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/93c8139c1a9755a9f599966f82df45cdee85305e,"CONTROL, and the most instructive one: a 72-byte core parse-tree object (With) that is NOT arena memory. Two-arm ASAN probe on pre-fix tree acef1abda274: heap-use-after-free in searchWith in BOTH arms. Full allocation stack shows sqlite3DbMallocZero -> dbMallocRawFinish -> sqlite3Malloc, from withDup <- sqlite3SelectDup <- sqlite3ViewGetColumnNames, which runs inside a DisableLookaside region (src/build.c:3154). Ruled out pool exhaustion by rerunning with -lookaside 1200 4000: still system malloc. Size alone does not decide arena residency."
d4b646997aad,2021,src/build.c (schema parse) / src/insert.c autoIncBegin,use-after-free (read),autoIncBegin (object built by sqlite3StartTable),"PRAGMA writable_schema=1; then rewrite the sqlite_sequence row in sqlite_schema to a malformed CREATE TABLE, reopen, and INSERT into the AUTOINCREMENT table",yes - test/corruptN.test cases 3.0-3.1,d4b646997aad2d79e27089eab1ee8eb42c261f0a,3.36.0,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/d4b646997aad2d79e27089eab1ee8eb42c261f0a,"CONTROL. Two-arm ASAN probe on pre-fix tree f22c590bab1a: heap-use-after-free 72 bytes inside a 128-byte region in autoIncBegin in BOTH arms. Allocation stack: sqlite3StartTable -> sqlite3DbMallocZero -> dbMallocRawFinish. Reason: the grammar rule createkw ::= CREATE calls disableLookaside(pParse) (src/parse.y:211-213), so every CREATE statement parses with the arena off and all schema objects (Table, Index, Trigger) are ordinary heap."
