"﻿""id""",year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
cpython-ba1de3bafb47,1996,Modules/binascii.c,out-of-bounds,binascii_a2b_base64,,,ba1de3bafb4721f63ab6d8192b567a4008e22b65,v1.5.1; v2.0.1; v2.1.1; v2.2.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/ba1de3bafb4721f63ab6d8192b567a4008e22b65,"Fixed off-by-one error in rle-decode, and allow whitespace in base64 ascii input (thanks to a contributor) || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: every heap allocation in Modules/binascii.c is in the pymalloc domain (2 sites, e.g. Modules/binascii.c:2396  odata = (unsigned char *) PyMem_Calloc(1, datalen);) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-288e97b7fefb,2000,Modules/_tkinter.c,crash-unclassified,_bump,deeply nested input driving recursion,,288e97b7fefb9b766b77a858fc34003c6d259d98,v2.0.1; v2.1.1; v2.2.1; v2.3.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/288e97b7fefb9b766b77a858fc34003c6d259d98,"Patch from Michael Hudson to fix flatten recursive data structures: [mwh21@atrus build]$ ./python >>> import Tkinter >>> l = [] >>> l.append(l) >>> Tkinter._flatten(l) Segmentation fault (core dumped) || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: a PyObject instance; every CPython type's default tp_alloc is PyType_GenericAlloc -> _PyType_AllocNoTrack -> _PyObject_MallocWithType -> PyObject_Malloc (Objects/typeobject.c), and every built-in tp_basicsize is far below the 512-byte pymalloc threshold (Include/internal/pycore_obmalloc.h:163) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-d4c0a9c59b39,2001,Python/getargs.c,heap-buffer-overflow-write,vgetargs1,deeply nested input driving recursion,regression test added in the fix: Modules/_testcapimodule.c,d4c0a9c59b399bfa0d36030663f78aa18a68e051,v2.2.1; v2.3.1; v2.4.1; v2.5.1,stack-buffer,caught,read-the-source,https://github.com/python/cpython/commit/d4c0a9c59b399bfa0d36030663f78aa18a68e051,"Fixes for possible buffer overflows in sprintf() usages. || WHY THIS ARENA: An automatic (stack) buffer, not heap memory at all. It is created and destroyed by the function prologue/epilogue rather than by any allocator. || allocation site: automatic buffer declared at: char buf[512]"
cpython-7e23f00948a0,2002,Modules/_cursesmodule.c,crash-unclassified,PyCursesWindow_GetKey,a zero-length or absent value on a path that assumed one existed,,7e23f00948a0157452c3a76ef1057fd494e48832,v2.3.1; v2.4.1; v2.5.1; v2.6.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/7e23f00948a0157452c3a76ef1057fd494e48832,"[Patch #633635 from David M. Cooke]    Make keyname raise ValueError if passed -1, avoiding a segfault    Make getkey() match the docs and raise an exception in nodelay mode    The return type of getc || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: Modules/_cursesmodule.c:2041  PyCursesWindowObject *wo = PyObject_GC_New(PyCursesWindowObject, || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-93f2edba15da,2002,Modules/socketmodule.c,crash-unclassified,PySocketSock_new,a zero-length or absent value on a path that assumed one existed,,93f2edba15da3ec98e4f7a7964400466e97b52c8,v2.2.2,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/93f2edba15da3ec98e4f7a7964400466e97b52c8,"Backport: The tp_new implementation should initialize the errorhandler field, otherwise this code could segfault: || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: every heap allocation in Modules/socketmodule.c is in the pymalloc domain (10 sites, e.g. Modules/socketmodule.c:4401  if (controllen > 0 && (controlbuf = PyMem_Malloc(controllen)) == NULL)) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-e1c478ff8a8c,2002,Modules/socketmodule.c,crash-unclassified,PySocketSock_new,a zero-length or absent value on a path that assumed one existed,,e1c478ff8a8cbae86dbc5467ccfe8c01bac52a54,v2.3.1; v2.4.1; v2.5.1; v2.6.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/e1c478ff8a8cbae86dbc5467ccfe8c01bac52a54,"The tp_new implementation should initialize the errorhandler field, otherwise this code could segfault: || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: every heap allocation in Modules/socketmodule.c is in the pymalloc domain (10 sites, e.g. Modules/socketmodule.c:4401  if (controllen > 0 && (controlbuf = PyMem_Malloc(controllen)) == NULL)) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-2f4be4e38ab0,2002,Modules/unicodedata.c,out-of-bounds,_getucname,,,2f4be4e38ab0adc8ee6773e920754e7ea8c51e89,v2.3.1; v2.4.1; v2.5.1; v2.6.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/2f4be4e38ab0adc8ee6773e920754e7ea8c51e89,"Fix off-by-one error. || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: every heap allocation in Modules/unicodedata.c is in the pymalloc domain (5 sites, e.g. Modules/unicodedata.c:143  self = PyObject_GC_New(PreviousDBVersion, ucd_type);) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-a2e303c32d41,2003,Parser/tokenizer.c,crash-unclassified,fp_readl,,,a2e303c32d415c2921672d87268b80d6aa824e21,v2.3.1; v2.4.1; v2.5.1; v2.6.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/a2e303c32d415c2921672d87268b80d6aa824e21,"Fix [ 665014 ] files with long lines and an encoding crash. || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: a PyObject instance; every CPython type's default tp_alloc is PyType_GenericAlloc -> _PyType_AllocNoTrack -> _PyObject_MallocWithType -> PyObject_Malloc (Objects/typeobject.c), and every built-in tp_basicsize is far below the 512-byte pymalloc threshold (Include/internal/pycore_obmalloc.h:163) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-fe92eef85b08,2004,Modules/binascii.c,uninitialized-read,binascii_a2b_uu,malformed or hostile input data,,fe92eef85b081640e20b787c99282544e148fc1c,v2.4.1; v2.5.1; v2.6.1; v2.7.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/fe92eef85b081640e20b787c99282544e148fc1c,"Valgrind was reporting an uninitialized read for bad input. This fixes the problem and the test passes.  I'm not sure the test is really correct though.  It seems like it would be better to raise an e || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: PyObject instance; default tp_alloc is PyType_GenericAlloc -> _PyType_AllocNoTrack -> _PyObject_MallocWithType -> PyObject_Malloc (Objects/typeobject.c) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
cpython-80961f3ca90a,2004,Modules/socketmodule.c,heap-buffer-overflow-write,socket_inet_ntop,an oversized or overflowing length/size argument,,80961f3ca90ab48470fad8bb2310f19896ec9b7b,v2.4.1; v2.5.1; v2.6.1; v2.7.1,obmalloc-pool,blind,read-the-source,https://github.com/python/cpython/commit/80961f3ca90ab48470fad8bb2310f19896ec9b7b,"Fix apparently trivial buffer overflow (SF bug 1060396). || WHY THIS ARENA: PyObject_Malloc and PyMem_Malloc are both wired to pymalloc in the default GIL build (Objects/obmalloc.c:436-439; --with-pymalloc defaults to yes, configure.ac:5297-5305). pymalloc_alloc (obmalloc.c:2493-2536) carves the block out of a pool inside an arena (16 KiB / 1 MiB on 64-bit with the radix tree; 4 KiB / 256 KiB otherwise, pycore_obmalloc.h:194-241). pymalloc_free (obmalloc.c:2765-2818) writes only the free-list link into the dead block and returns it to pool->freeblock. The block is NEVER passed to libc free at all: the arena itself is obtained by mmap and released by munmap in _PyMem_ArenaFree (obmalloc.c:682-708; plain free() is only the fallback for platforms with neither mmap nor VirtualAlloc), and even that happens only when a whole arena has emptied AND it is not the last one (obmalloc.c:2643). So a checker hooking malloc/free sees neither the object nor the arena. Threshold caveats: the window is 1..512 requested bytes (obmalloc.c:2504-2509), which under Py_DEBUG / PYTHONMALLOC=debug / -X dev becomes 1..488 because the debug wrapper adds 24 bytes (obmalloc.c:2986,3086); and the GC pre-header counts against it, so the object-size ceiling is 496 for a GC type and 480 for an ordinary class instance (Python/gc.c:2012-2013, pycore_object.h:850-858). || allocation site: PyObject instance; default tp_alloc is PyType_GenericAlloc -> _PyType_AllocNoTrack -> _PyObject_MallocWithType -> PyObject_Malloc (Objects/typeobject.c) || size-dependency: this object is in a pool while the allocation is <=512 bytes; the same call falls through to PyMem_RawMalloc above that (obmalloc.c:2507,2549)."
