id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
CVE-2026-11822,2026,requires-extension:FTS5,heap-overflow-write,fts5LeafSeek (and related FTS5 page walkers),corrupt-db-file,https://zeropath.com/blog/cve-2026-11822-sqlite-fts5-memory-corruption,e0b995b2a62b78979eb65bb8dadfa912eaa8e62f,3.53.2 (2026-06-03),system-malloc,caught,read-the-source,https://www.sqlite.org/cves.html,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: leaf buffer is its own allocation | arena read from source, see sqlite-arenas.md"
CVE-2026-39113,2026,ext-misc:sqlar,heap-overflow-write,sqlarUncompressFunc,plain-SQL+requires-extension:sqlar,https://github.com/20000419/CVE-2026-39113,34e139d3a306fcc0eeaf29de69783a311d48356b,3.53.0,system-malloc,caught,read-the-source,https://nvd.nist.gov/vuln/detail/CVE-2026-39113,"pOut = sqlite3_malloc(sz) with sz an sqlite3_int64 from sqlite3_value_int64, ext/misc/sqlar.c:93 as of 169f68ed88b3 (the introducing check-in); sqlite3_malloc takes int so sz>2^31 truncates to a small block while uncompress() is given szf=sz, writing far past it; sqlite3_malloc -> sqlite3Malloc -> system heap and the write leaves the block entirely, so caught twice over; fix 34e139d3a switches to sqlite3_malloc64"
CVE-2026-50813,2026,session extension,heap-oob-read,sessionVarintGet / sessionVarintGetSafe,corrupt-changeset+requires-extension:session,,c597ed79d1bd03f57198d10d1f431adda293cf2e,,system-malloc,caught,read-the-source,https://github.com/sqlite/sqlite/commit/c597ed79d1bd03f57198d10d1f431adda293cf2e,"Object: the changeset buffer indexed by a varint whose sign bit was not masked. allocated by the extension via sqlite3_malloc64/sqlite3_realloc64. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Real heap bounds apply."
fossil:1389ec7bf6a7f684,2026,FTS3,heap-overflow-write,,,,ceb66403bbf30f49b35ffb582b56aeea70f4cbbb,3.53.2,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/1389ec7bf6a7f684,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: fts3 allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:325c222726f275f1,2026,zipfile extension,integer-overflow,,,,15cd6704863f7c68818b2d607191ab6944d39f98,,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/325c222726f275f1,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: zipfile allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:38bb8275005c3d29,2026,FTS3,integer-overflow,snippet(),,,dcff2fa3f71f74c6816b55db592f08eb53765714,3.53.4,system-malloc,caught,read-the-source,https://sqlite.org/src/info/38bb8275005c3d29,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: fts3 allocates via sqlite3_malloc"
fossil:3c46295487f089a8,2026,session extension,heap-oob-read,,C-API-misuse,,4b12a38ffb3e38f3c7e609fbf95fa91326d655cb,3.52.0,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/3c46295487f089a8,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: session allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:5150cf9a89aebfd7,2026,session extension,heap-oob-read,,,,2ba7864bc495f613117686c08005ace8f22cf468,3.53.1,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/5150cf9a89aebfd7,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: session allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
fossil:6ede22e13f8e85c1,2026,ext-misc:nextchar (spellfix),heap-oob-read,findNextChars,plain-SQL+requires-extension:nextchar,test/spellfix.test (added by the fix),987675a440267ee809713c02ffd8f59f0027af23,,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/987675a440267ee809713c02ffd8f59f0027af23,"readUtf8(zOut + p->nPrefix, &cNext) at ext/misc/nextchar.c:188 with no check that the returned word is longer than the prefix; zOut = sqlite3_column_text(p->pStmt,0) (ext/misc/nextchar.c:182) is the sub-statement's register buffer, produced by OP_Column -> sqlite3VdbeMemGrow -> sqlite3DbMallocRaw(db,len+2) at src/vdbemem.c:276 (OP_Column always copies string/blob column values into pDest->zMalloc and zero-fills two pad bytes); vocabulary words are far under the 1200-byte slot, so the read past the word lands inside a lookaside slot; only a word longer than ~1198 B would put the buffer on the system heap"
fossil:70021c3291b38192,2026,FTS5,heap-oob-read,,corrupt-db-file,,8154476ff86860490f2aaa1626909ad5a10a65df,,system-malloc,caught,named-in-advisory,https://sqlite.org/src/info/70021c3291b38192,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary heap bounds and revocation apply. Prior pass: fts5 allocates via sqlite3_malloc PROVENANCE CAVEAT: this row arena was INHERITED from an earlier pass that classified partly by a per-file heuristic (which allocator the containing file calls), not by following this object to its allocation. An adversarial audit of 30 such rows found ~21 wrong, concentrated in exactly two classes: paths running under DisableLookaside (CREATE/ALTER-RENAME/loadStat4) wrongly marked lookaside, and extension rows whose mishandled object was a CORE-supplied sqlite3_value payload wrongly marked system-malloc. Every row the audit named has been corrected; this row was NOT individually re-derived and should be treated as unverified."
