id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,cheri_expectation,rationale,sqlite_assessment,verification,source,notes
CVE-2026-51304,2026,,,,,,,,UNKNOWN,UNKNOWN,,These are unreproducible. They appear to be AI hallucinations.,unverified,https://www.sqlite.org/cves.html,"Disputed by sqlite.org: not a bug in SQLite; unreproducible, apparent AI hallucination. No memory-safety bug to reproduce."
CVE-2026-51303,2026,,,,,,,,UNKNOWN,UNKNOWN,,These are unreproducible. They appear to be AI hallucinations.,unverified,https://www.sqlite.org/cves.html,"Disputed by sqlite.org: not a bug in SQLite; unreproducible, apparent AI hallucination. No memory-safety bug to reproduce."
CVE-2026-51302,2026,,,,,,,,UNKNOWN,UNKNOWN,,These are unreproducible. They appear to be AI hallucinations.,unverified,https://www.sqlite.org/cves.html,"Disputed by sqlite.org: not a bug in SQLite; unreproducible, apparent AI hallucination. No memory-safety bug to reproduce."
CVE-2026-51300,2026,,,,,,,,UNKNOWN,UNKNOWN,,These are unreproducible. They appear to be AI hallucinations.,unverified,https://www.sqlite.org/cves.html,"Disputed by sqlite.org: not a bug in SQLite; unreproducible, apparent AI hallucination. No memory-safety bug to reproduce."
CVE-2026-51297,2026,,,,,,,,UNKNOWN,UNKNOWN,,These are unreproducible. They appear to be AI hallucinations.,unverified,https://www.sqlite.org/cves.html,"Disputed by sqlite.org: not a bug in SQLite; unreproducible, apparent AI hallucination. No memory-safety bug to reproduce."
CVE-2026-51296,2026,,,,,,,,UNKNOWN,UNKNOWN,,These are unreproducible. They appear to be AI hallucinations.,unverified,https://www.sqlite.org/cves.html,"Disputed by sqlite.org: not a bug in SQLite; unreproducible, apparent AI hallucination. No memory-safety bug to reproduce."
CVE-2023-39939,2023,,,,,,,,UNKNOWN,UNKNOWN,,This is not a bug in SQLite. This is an SQL injection bug in an application (LuxCal Web Calendar) that links against SQLite.,unverified,https://www.sqlite.org/cves.html,Not a SQLite bug.
CVE-2023-39543,2023,,,,,,,,UNKNOWN,UNKNOWN,,This is not a bug in SQLite. This is an XSS vulnerability in a separate application (LuxCal Web Calendar) that links against SQLite.,unverified,https://www.sqlite.org/cves.html,Not a SQLite bug.
CVE-2022-38627,2022,,,,,,,,UNKNOWN,UNKNOWN,,This is not a bug in SQLite. This is an SQL injection bug in a specific PHP application.,unverified,https://www.sqlite.org/cves.html,Not a SQLite bug.
CVE-2021-45346,2021,record decoding,heap-oob-read,,corrupt-db-file,,,,lookaside,BLINDSPOT-candidate,record decoding is core parse/query machinery,"This CVE is misinformation. See the discussion around SQLite forum post 53de8864ba114bf. || Not a bug per vendor (misinformation, see SQLite forum discussion).",arena-inferred-from-file,https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2021-45346,"Disputed: misinformation per sqlite.org. || CVSS 4.3 (V31) | CWE-401 | NVD: A Memory Leak vulnerability exists in SQLite Project SQLite3 3.35.1 and 3.37.0 via maliciously crafted SQL Queries (made via editing the Database File), it is possible to query a record, and leak subsequent bytes of memory that extend beyond the record, which could let a malicious user obtain sensitive information. NOT... | Claimed info leak of heap bytes beyond a record via edited database file; vendor-disputed. | refs: https://sqlite.org/forum/forumpost/056d557c2f8c452ed5 https://sqlite.org/forum/forumpost/53de8864ba114bf6 https://www.sqlite.org/cves.html#status_of_recent_sqlite_cves https://github.com/guyinatuxedo/sqlite3_record_leaking https://security.netapp.com/advisory/ntap-20220303-0001/"
CVE-2021-28305,2021,,,,,,,,UNKNOWN,UNKNOWN,,This is not a bug in SQLite. The bug is in a third-party application that uses SQLite.,unverified,https://www.sqlite.org/cves.html,Not a SQLite bug.
CVE-2021-23404,2021,,,,,,,,UNKNOWN,UNKNOWN,,This is not a bug in SQLite. The bug is in a third-party application that uses SQLite and includes 'sqlite' in its name.,unverified,https://www.sqlite.org/cves.html,Not a SQLite bug.
CVE-2021-20227,2021,core (subquery/aggregate processing) || select.c || flattener/optimizer,read-after-free || use-after-free,site not yet pinned down || src/select.c,plain-SQL,subquery with a correlated WHERE clause and a 'HAVING 0' clause where the parent query is an aggregate,30a4c32365,3.34.1 (2021-01-20),lookaside,BLINDSPOT-candidate,"sqlite.org: undetectable without memory sanitizer; arena decides the verdict | arena read from source, see sqlite-arenas.md","Malicious SQL statement causes read-after-free. No harm can come of this particular read-after-free instance, as far as anyone knows. The bug is undetectable without a memory sanitizer. The CVE claims that this bug is an RCE - a Remote Code Execution vulnerability, but that claim is incorrect. The RCE claim is misinformation. || Read-after-free from malicious SQL; vendor judged no actual harm possible; fixed in 3.34.1. || 'Malicious SQL statement causes read-after-free. No harm can come of this particular read-after-free instance, as far as anyone knows. The bug is undetectable without a memory sanitizer. The CVE claims that this bug is an RCE ... that claim is incorrect. The RCE claim is misinformation.'",arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2021-20227 || https://sqlite.org/cves.html,"Read-after-free, harmless as far as known; detectable only under a memory sanitizer. RCE claim in the CVE is misinformation per sqlite.org. Fix check-in 30a4c323650cc949 (2021-01-19); matches 3.34.1 changelog item. || CVSS 5.5 (V31) | CWE-416 | NVD: A flaw was found in SQLite's SELECT query functionality (src/select.c). This flaw allows an attacker who is capable of running SQL queries locally on the SQLite database to cause a denial of service or possible code execution by triggering a use-after-free. The highest threat from this vulnerability is to system availa... | refs: https://www.sqlite.org/releaselog/3_34_1.html https://bugzilla.redhat.com/show_bug.cgi?id=1924886 https://security.gentoo.org/glsa/202103-04 https://security.gentoo.org/glsa/202210-40 https://security.netapp.com/advisory/ntap-20210423-0010/ https://www.oracle.com//security-alerts/cpujul2021.html https://www.oracle.com/security-alerts/cpuApr2021.html https://www.oracle.com/security-alerts/cpuoct2021.html || Sharpest vendor-vs-CVE disagreement in the whole set: Red Hat's text says 'denial of service or possible code execution'; upstream calls the RCE claim misinformation and notes it is invisible without ASan. Useful as a calibration data point on CVE severity inflation. The flattener and the WHERE-clause optimizer are CORE and present in every build including ours. Our silicon build additionally OMITs some individual optimizations (LIKE/OR/BETWEEN/TRUNCATE/XFER) but NOT the flattener, so this component is reachable in our binary."
CVE-2019-19317,2019,core (generated columns) || resolve.c (generated columns),,lookupName,plain-SQL,,6601da5803,3.31.0 (2020-01-22),lookaside,BLINDSPOT-candidate,generated column is core parse/query machinery,This CVE identifies a bug in a development check-in of SQLite. The bug never appeared in any official SQLite release. || Bug existed only in a development check-in; never appeared in an official release.,arena-inferred-from-file,https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2019-19317,"Bug existed only in a development check-in, never in any official release. Details check-in 6601da58032d18ae 'Whenever a generated column is used, assume that all columns are used' (2019-11-21). || CVSS 9.8 (V31) | CWE-681 | NVD: lookupName in resolve.c in SQLite 3.30.1 omits bits from the colUsed bitmask in the case of a generated column, which allows attackers to cause a denial of service or possibly have unspecified other impact. | colUsed bitmask bits omitted for generated column. | refs: https://github.com/sqlite/sqlite/commit/522ebfa7cee96fb325a22ea3a2464a63485886a8 https://github.com/sqlite/sqlite/commit/73bacb7f93eab9f4bd5a65cbc4ae242acf63c9e3 https://cert-portal.siemens.com/productcert/pdf/ssa-389290.pdf https://security.netapp.com/advisory/ntap-20191223-0001/ https://www.oracle.com/security-alerts/cpuapr2020.html"
