case	fix	name	shape	mode	expected	passed	cause	pc	expected_pc	delivered	completed	runner_exit
0	gh-143543	groupby-reentrant-eq	free/reuse/stale read	spatial	complete	True					1	0
0	gh-143543	groupby-reentrant-eq	free/reuse/stale read	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
1	gh-146613	grouper-parent-key-freed	free/reuse/stale read	spatial	complete	True					1	0
1	gh-146613	grouper-parent-key-freed	free/reuse/stale read	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
2	gh-142829	hamt-eq-interior-cursor	interior pointer	spatial	complete	True					1	0
2	gh-142829	hamt-eq-interior-cursor	interior pointer	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
3	gh-142831	json-encoder-list-item	stale entry in a live array	spatial	complete	True					1	0
3	gh-142831	json-encoder-list-item	stale entry in a live array	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
4	gh-145244	json-encoder-dict-key-error-path	bulk free, error path	spatial	complete	True					1	0
4	gh-145244	json-encoder-dict-key-error-path	bulk free, error path	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
5	gh-148660	odict-copy-stale-link	pointer load from freed block	spatial	complete	True					1	0
5	gh-148660	odict-copy-stale-link	pointer load from freed block	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
6	gh-151295	bytes-join-reentrant-buffer	payload buffer, sub-512	spatial	complete	True					1	0
6	gh-151295	bytes-join-reentrant-buffer	payload buffer, sub-512	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
7	gh-148395	decompressor-next-in	cursor across two API calls	spatial	complete	True					1	0
7	gh-148395	decompressor-next-in	cursor across two API calls	sublet	fault	True	24	0x101a0b0bc	0x101a0b0bc	False		1
