case	fix	name	shape	arm	expected	passed	exit	fault_pc	probe_address	at_probe	counters
0	3c8be14c82	00-rpcrdma-write-offsets-global	stale pointer held by a global across packets	cheribsd	complete	True	0				
1	c14d731e45	01-cms-oid-global	stale pointer held by a global across packets	cheribsd	complete	True	0				
2	99da8c2cdc	02-mdb-address-column	packet-scope object held by a column or address past the scope's end	cheribsd	complete	True	0				
3	6eab9f83ab	03-cola-info-column	packet-scope object held by a column or address past the scope's end	cheribsd	complete	True	0				
4	b48759e4a4	04-qnet6-col-set-str	packet-scope object held by a column or address past the scope's end	cheribsd	complete	True	0				
5	5a109265a6	05-usbll-address-struct	packet-scope object held by a column or address past the scope's end	cheribsd	complete	True	0				
6	a8b16d74e1	06-x509if-last-dn-static	stale pointer held by a global across packets	cheribsd	complete	True	0				
7	fb504bc76c	07-mysql-auth-method	packet-scope object kept by file-scope state across packets	cheribsd	complete	True	0				
8	31ab1a0a17	08-sip-cseq-method	packet-scope object kept by file-scope state across packets	cheribsd	complete	True	0				
9	693dc40936	09-geonw-proto-data-tvb	packet-scope object kept by file-scope state across packets	cheribsd	complete	True	0				
10	6fd3af5e99	10-t38-reassembly-buffer	packet-scope object kept by file-scope state across packets	cheribsd	complete	True	0				
11	3a5f82dfb5	11-http-header-map	packet-scope object kept by file-scope state across packets	cheribsd	complete	True	0				
12	90bb3a5c9e	12-xml-root-name-recycled	stale pointer after an individual recycler free	cheribsd	complete	True	0				
0	3c8be14c82	00-rpcrdma-write-offsets-global	stale pointer held by a global across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
1	c14d731e45	01-cms-oid-global	stale pointer held by a global across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
2	99da8c2cdc	02-mdb-address-column	packet-scope object held by a column or address past the scope's end	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
3	6eab9f83ab	03-cola-info-column	packet-scope object held by a column or address past the scope's end	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
4	b48759e4a4	04-qnet6-col-set-str	packet-scope object held by a column or address past the scope's end	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
5	5a109265a6	05-usbll-address-struct	packet-scope object held by a column or address past the scope's end	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
6	a8b16d74e1	06-x509if-last-dn-static	stale pointer held by a global across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
7	fb504bc76c	07-mysql-auth-method	packet-scope object kept by file-scope state across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
8	31ab1a0a17	08-sip-cseq-method	packet-scope object kept by file-scope state across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
9	693dc40936	09-geonw-proto-data-tvb	packet-scope object kept by file-scope state across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
10	6fd3af5e99	10-t38-reassembly-buffer	packet-scope object kept by file-scope state across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
11	3a5f82dfb5	11-http-header-map	packet-scope object kept by file-scope state across packets	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
12	90bb3a5c9e	12-xml-root-name-recycled	stale pointer after an individual recycler free	poisoncap-spatial	complete	True	0				WM_POISONCAP mode=0 sweeps=0 poison_bytes=0 epochs=0 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
0	3c8be14c82	00-rpcrdma-write-offsets-global	stale pointer held by a global across packets	poisoncap-protected	fault	True	162	0x103e20	0x103e20	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
1	c14d731e45	01-cms-oid-global	stale pointer held by a global across packets	poisoncap-protected	fault	True	162	0x103e6c	0x103e6c	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
2	99da8c2cdc	02-mdb-address-column	packet-scope object held by a column or address past the scope's end	poisoncap-protected	fault	True	162	0x103db4	0x103db4	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
3	6eab9f83ab	03-cola-info-column	packet-scope object held by a column or address past the scope's end	poisoncap-protected	fault	True	162	0x103db4	0x103db4	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
4	b48759e4a4	04-qnet6-col-set-str	packet-scope object held by a column or address past the scope's end	poisoncap-protected	fault	True	162	0x103dc4	0x103dc4	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
5	5a109265a6	05-usbll-address-struct	packet-scope object held by a column or address past the scope's end	poisoncap-protected	fault	True	162	0x103d70	0x103d70	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
6	a8b16d74e1	06-x509if-last-dn-static	stale pointer held by a global across packets	poisoncap-protected	fault	True	162	0x103db6	0x103db6	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
7	fb504bc76c	07-mysql-auth-method	packet-scope object kept by file-scope state across packets	poisoncap-protected	fault	True	162	0x103e04	0x103e04	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
8	31ab1a0a17	08-sip-cseq-method	packet-scope object kept by file-scope state across packets	poisoncap-protected	fault	True	162	0x103dfc	0x103dfc	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
9	693dc40936	09-geonw-proto-data-tvb	packet-scope object kept by file-scope state across packets	poisoncap-protected	fault	True	162	0x103dbc	0x103dbc	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
10	6fd3af5e99	10-t38-reassembly-buffer	packet-scope object kept by file-scope state across packets	poisoncap-protected	fault	True	162	0x103db0	0x103db0	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
11	3a5f82dfb5	11-http-header-map	packet-scope object kept by file-scope state across packets	poisoncap-protected	fault	True	162	0x103e24	0x103e24	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=2097152 epochs=1 released_chunks=0 region_releases=0 regions=8 unrepresentable=0 pointer_bytes=16
12	90bb3a5c9e	12-xml-root-name-recycled	stale pointer after an individual recycler free	poisoncap-protected	fault	True	162	0x103e6e	0x103e6e	True	WM_POISONCAP mode=1 sweeps=1 poison_bytes=16 epochs=0 released_chunks=1 region_releases=0 regions=7 unrepresentable=0 pointer_bytes=16
