workload,arm,repetition,status,events,payload_carved_bytes,metadata_carved_bytes,peak_live_requested_bytes,peak_pool_backing_requested_bytes,revoke,init_bytes
short,spatial,1,passed,2379,372352,12288,368258,368290,0,0
short,sublet,1,passed,2379,372352,12288,368258,368290,520,373504
short,spatial,2,passed,2379,372352,12288,368258,368290,0,0
short,sublet,2,passed,2379,372352,12288,368258,368290,520,373504
short,spatial,3,passed,2379,372352,12288,368258,368290,0,0
short,sublet,3,passed,2379,372352,12288,368258,368290,520,373504
turnover,spatial,1,passed,4437,371904,11648,368226,368250,0,0
turnover,sublet,1,passed,4437,371904,11648,368226,368250,963,373056
turnover,spatial,2,passed,4437,371904,11648,368226,368250,0,0
turnover,sublet,2,passed,4437,371904,11648,368226,368250,963,373056
turnover,spatial,3,passed,4437,371904,11648,368226,368250,0,0
turnover,sublet,3,failed,,,,,,,
turnover,sublet,3,passed,4437,371904,11648,368226,368250,963,373056
larger,spatial,1,passed,4473,1242240,12288,1237832,1237864,0,0
larger,sublet,1,passed,4473,1242240,12288,1237832,1237864,969,1243392
larger,spatial,2,passed,4473,1242240,12288,1237832,1237864,0,0
larger,sublet,2,passed,4473,1242240,12288,1237832,1237864,969,1243392
larger,spatial,3,passed,4473,1242240,12288,1237832,1237864,0,0
larger,sublet,3,passed,4473,1242240,12288,1237832,1237864,969,1243392
