allocator	case	spatial	sublet	cause	probe_pc	fault_pc
Generation	live	PASS:complete	PASS:complete	-	-	-
Generation	free-reuse-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Generation	reset-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Generation	delete-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Generation	ancestor-delete-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Generation	free-reuse-write	PASS:complete	PASS:fault	24	0x101a17c14	0x101a17c14
Generation	reset-write	PASS:complete	PASS:fault	24	0x101a17c14	0x101a17c14
Generation	oversized-no-oom	PASS:complete	PASS:complete	-	-	-
Generation	moving-realloc-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Generation	upper-bound-read	PASS:complete	PASS:fault	5	0x101a17ad8	0x101a17ad8
Generation	policy-payload	PASS:complete	PASS:complete	-	-	-
Generation	empty-block-recycle-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Generation	large-free-or-reset-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Generation	metadata-exhaustion-recovery	PASS:complete	PASS:complete	-	-	-
Slab	live	PASS:complete	PASS:complete	-	-	-
Slab	free-reuse-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Slab	reset-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Slab	delete-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Slab	ancestor-delete-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Slab	free-reuse-write	PASS:complete	PASS:fault	24	0x101a17c14	0x101a17c14
Slab	reset-write	PASS:complete	PASS:fault	24	0x101a17c14	0x101a17c14
Slab	upper-bound-read	PASS:complete	PASS:fault	5	0x101a17ad8	0x101a17ad8
Slab	policy-payload	PASS:complete	PASS:complete	-	-	-
Slab	empty-block-recycle-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Slab	metadata-exhaustion-recovery	PASS:complete	PASS:complete	-	-	-
Bump	live	PASS:complete	PASS:complete	-	-	-
Bump	reset-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Bump	delete-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Bump	ancestor-delete-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Bump	reset-write	PASS:complete	PASS:fault	24	0x101a17c14	0x101a17c14
Bump	oversized-no-oom	PASS:complete	PASS:complete	-	-	-
Bump	upper-bound-read	PASS:complete	PASS:fault	5	0x101a17ad8	0x101a17ad8
Bump	policy-payload	PASS:complete	PASS:complete	-	-	-
Bump	large-free-or-reset-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Bump	zero-size-read	PASS:complete	PASS:fault	24	0x101a17ad8	0x101a17ad8
Bump	metadata-exhaustion-recovery	PASS:complete	PASS:complete	-	-	-
