% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 73.01    0.300219       16678        18         6 wait4
  7.78    0.032001           1     19751           write
  4.83    0.019845         185       107           pwritev
  3.95    0.016244           1     11010     11010 ioctl
  2.77    0.011378           2      4970       724 openat
  2.64    0.010853           1      5632        45 newfstatat
  0.97    0.003983           1      2564           pwrite64
  0.91    0.003741           0      4204           close
  0.80    0.003279           1      1828           read
  0.78    0.003196           0      4540           lseek
  0.67    0.002743          78        35           munmap
  0.13    0.000531          88         6           fallocate
  0.11    0.000447           0       512           pread64
  0.11    0.000435          16        27           mkdir
  0.10    0.000395           1       310       298 unlink
  0.08    0.000336           3        96           getdents64
  0.06    0.000240          18        13           execve
  0.05    0.000200           1       176         4 mmap
  0.04    0.000162          14        11           rename
  0.03    0.000139           1       105           brk
  0.03    0.000135           0       163           fstat
  0.02    0.000094           0       100        99 readlink
  0.02    0.000085          14         6           clone3
  0.01    0.000059           0       193       168 access
  0.01    0.000058           2        27           geteuid
  0.01    0.000055           9         6           vfork
  0.01    0.000053           1        48           mprotect
  0.01    0.000043           0        76           rt_sigaction
  0.01    0.000041           0        63           rt_sigprocmask
  0.01    0.000022           0        28           getpid
  0.00    0.000019           4         4           shmctl
  0.00    0.000019           4         4           shmdt
  0.00    0.000012           3         4           shmat
  0.00    0.000012           3         4           socket
  0.00    0.000012           0        25           prlimit64
  0.00    0.000010           2         4           shmget
  0.00    0.000010           2         4           chmod
  0.00    0.000010           2         4           epoll_ctl
  0.00    0.000010           2         4           signalfd4
  0.00    0.000009           1         6           rt_sigreturn
  0.00    0.000008           0        10           getuid
  0.00    0.000008           0        13           getrandom
  0.00    0.000006           0        18           fcntl
  0.00    0.000005           0        18           dup2
  0.00    0.000005           0         9           umask
  0.00    0.000005           1         4           epoll_create1
  0.00    0.000005           1         4           pipe2
  0.00    0.000004           1         4         4 connect
  0.00    0.000004           1         4           chdir
  0.00    0.000004           0        10           getppid
  0.00    0.000004           0        13           arch_prctl
  0.00    0.000004           0        13           set_tid_address
  0.00    0.000004           0        13           rseq
  0.00    0.000002           0        13           set_robust_list
  0.00    0.000001           0         6           getgid
  0.00    0.000001           0         6           getegid
  0.00    0.000000           0         1           setitimer
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         1           futex
------ ----------- ----------- --------- --------- ----------------
100.00    0.411205           7     56849     12358 total
