object	rc	first error
acl.o	0	
aclchk.o	0	
aggregatecmds.o	0	
alignedalloc.o	0	
allpaths.o	0	
alter.o	0	
amapi.o	0	
amcmds.o	0	
amutils.o	0	
amvalidate.o	0	
analyze.o	0	
analyzejoins.o	0	
appendinfo.o	0	
applyparallelworker.o	0	
archive.o	0	
archive_shlib.o	0	
archive_srv.o	0	
array_expanded.o	0	
array_selfuncs.o	0	
array_typanalyze.o	0	
array_userfuncs.o	0	
arrayfuncs.o	0	
arraysubs.o	1	../../../../src/include/executor/execExpr.h:723:18: error: static assertion failed due to requirement 'sizeof(struct ExprEvalStep) <= 64': size of ExprEvalStep exceeds 64 bytes
arrayutils.o	0	
ascii.o	0	
aset.o	1	aset.c:362:19: error: static assertion failed due to requirement 'sizeof(struct AllocFreeListLink) <= (1 << 3)': sizeof(AllocFreeListLink) larger than minimum allocation size
assert.o	0	
async.o	0	
atomics.o	0	
attmap.o	0	
attoptcache.o	0	
auth-sasl.o	0	
auth-scram.o	0	
auth.o	0	
autovacuum.o	0	
auxprocess.o	0	
backend_progress.o	0	
backend_startup.o	0	
backend_status.o	0	
backup_manifest.o	0	
barrier.o	0	
base64.o	0	
base64_shlib.o	0	
base64_srv.o	0	
basebackup.o	0	
basebackup_copy.o	0	
basebackup_gzip.o	0	
basebackup_incremental.o	0	
basebackup_lz4.o	0	
basebackup_progress.o	0	
basebackup_server.o	0	
basebackup_sink.o	0	
basebackup_target.o	0	
basebackup_throttle.o	0	
basebackup_zstd.o	0	
be-fsstubs.o	0	
be-secure-common.o	0	
be-secure.o	0	
bernoulli.o	0	
bgworker.o	0	
bgwriter.o	0	
binaryheap.o	0	
binaryheap_shlib.o	0	
binaryheap_srv.o	0	
bipartite_match.o	0	
bitmapset.o	0	
blkreftable.o	0	
blkreftable_shlib.o	0	
blkreftable_srv.o	0	
bloomfilter.o	0	
bool.o	0	
bootparse.o	0	
bootscanner.o	0	
bootstrap.o	0	
brin.o	0	
brin_bloom.o	0	
brin_inclusion.o	0	
brin_minmax.o	0	
brin_minmax_multi.o	0	
brin_pageops.o	0	
brin_revmap.o	0	
brin_tuple.o	0	
brin_validate.o	0	
brin_xlog.o	0	
brindesc.o	0	
bsearch_arg.o	0	
bsearch_arg_shlib.o	0	
bsearch_arg_srv.o	0	
buf_init.o	0	
buf_table.o	0	
buffile.o	0	
bufmask.o	0	
bufmgr.o	0	
bufpage.o	0	
bulk_write.o	0	
bump.o	0	
cash.o	0	
catalog.o	0	
catcache.o	0	
char.o	0	
checkpointer.o	0	
checksum.o	0	
checksum_helper.o	0	
checksum_helper_shlib.o	0	
checksum_helper_srv.o	0	
chklocale.o	0	
chklocale_shlib.o	0	
chklocale_srv.o	0	
clauses.o	0	
clausesel.o	0	
clog.o	0	
clogdesc.o	0	
cluster.o	0	
cmdtag.o	0	
collationcmds.o	0	
combocid.o	0	
comment.o	0	
commit_ts.o	0	
committsdesc.o	0	
compression.o	0	
compression_shlib.o	0	
compression_srv.o	0	
condition_variable.o	0	
conffiles.o	0	
config_info.o	0	
config_info_shlib.o	0	
config_info_srv.o	0	
constraint.o	0	
controldata_utils.o	0	
controldata_utils_shlib.o	0	
controldata_utils_srv.o	0	
conv.o	0	
conversioncmds.o	0	
copy.o	0	
copydir.o	0	
copyfrom.o	0	
copyfromparse.o	0	
copyfuncs.o	0	
copyto.o	0	
costsize.o	0	
createas.o	0	
createplan.o	0	
crypt.o	0	
cryptohash.o	0	
cryptohash_shlib.o	0	
cryptohash_srv.o	0	
cryptohashfuncs.o	0	
csvlog.o	0	
d2s.o	0	
d2s_shlib.o	0	
d2s_srv.o	0	
date.o	0	
datetime.o	0	
datum.o	0	
dbasedesc.o	0	
dbcommands.o	0	
dbsize.o	0	
deadlock.o	0	
decode.o	0	
define.o	0	
dependencies.o	0	
dependency.o	0	
dest.o	0	
detoast.o	0	
dfmgr.o	0	
dict.o	0	
dict_ispell.o	0	
dict_simple.o	0	
dict_synonym.o	0	
dict_thesaurus.o	0	
discard.o	0	
domains.o	0	
dropcmds.o	0	
dsa.o	0	
dshash.o	0	
dsm.o	0	
dsm_impl.o	0	
dsm_registry.o	0	
dynahash.o	0	
elog.o	0	
encnames.o	0	
encnames_shlib.o	0	
encnames_srv.o	0	
encode.o	0	
enum.o	0	
equalfuncs.o	0	
equivclass.o	0	
event_trigger.o	0	
evtcache.o	0	
exec.o	0	
execAmi.o	0	
execAsync.o	0	
execCurrent.o	0	
execExpr.o	1	../../../src/include/executor/execExpr.h:723:18: error: static assertion failed due to requirement 'sizeof(struct ExprEvalStep) <= 64': size of ExprEvalStep exceeds 64 bytes
execExprInterp.o	1	../../../src/include/executor/execExpr.h:723:18: error: static assertion failed due to requirement 'sizeof(struct ExprEvalStep) <= 64': size of ExprEvalStep exceeds 64 bytes
execGrouping.o	0	
execIndexing.o	0	
execJunk.o	0	
execMain.o	0	
execParallel.o	0	
execPartition.o	0	
execProcnode.o	0	
execReplication.o	0	
execSRF.o	0	
execScan.o	0	
execTuples.o	0	
execUtils.o	0	
exec_shlib.o	0	
exec_srv.o	0	
expandeddatum.o	0	
expandedrecord.o	0	
explain.o	0	
extended_stats.o	0	
extensible.o	0	
extension.o	0	
f2s.o	0	
f2s_shlib.o	0	
f2s_srv.o	0	
fastpath.o	0	
fd.o	0	
fe_memutils.o	0	
fe_memutils_shlib.o	0	
file_perm.o	0	
file_perm_shlib.o	0	
file_perm_srv.o	0	
file_utils.o	0	
file_utils_shlib.o	0	
file_utils_srv.o	0	
fileset.o	0	
float.o	0	
fmgr.o	0	
fmgrtab.o	0	
foreign.o	0	
foreigncmds.o	0	
fork_process.o	0	
format_type.o	0	
formatting.o	0	
freelist.o	0	
freepage.o	0	
freespace.o	0	
fsmpage.o	0	
funcapi.o	0	
functioncmds.o	0	
functions.o	0	
genam.o	0	
generation.o	0	
generic_xlog.o	0	
genericdesc.o	0	
genfile.o	0	
geo_ops.o	0	
geo_selfuncs.o	0	
geo_spgist.o	0	
geqo_copy.o	0	
geqo_cx.o	0	
geqo_erx.o	0	
geqo_eval.o	0	
geqo_main.o	0	
geqo_misc.o	0	
geqo_mutation.o	0	
geqo_ox1.o	0	
geqo_ox2.o	0	
geqo_pmx.o	0	
geqo_pool.o	0	
geqo_px.o	0	
geqo_random.o	0	
geqo_recombination.o	0	
geqo_selection.o	0	
getpeereid.o	0	
getpeereid_shlib.o	0	
getpeereid_srv.o	0	
ginarrayproc.o	0	
ginbtree.o	0	
ginbulk.o	0	
gindatapage.o	0	
gindesc.o	0	
ginentrypage.o	0	
ginfast.o	0	
ginget.o	0	
gininsert.o	0	
ginlogic.o	0	
ginpostinglist.o	0	
ginscan.o	0	
ginutil.o	0	
ginvacuum.o	0	
ginvalidate.o	0	
ginxlog.o	0	
gist.o	0	
gistbuild.o	0	
gistbuildbuffers.o	0	
gistdesc.o	0	
gistget.o	0	
gistproc.o	0	
gistscan.o	0	
gistsplit.o	0	
gistutil.o	0	
gistvacuum.o	0	
gistvalidate.o	0	
gistxlog.o	0	
globals.o	0	
gram.o	1	clang: error: clang frontend command failed with exit code 139 (use -v to see invocation)
guc-file.o	0	
guc.o	0	
guc_funcs.o	0	
guc_tables.o	0	
hash.o	0	
hash_xlog.o	0	
hashdesc.o	0	
hashfn.o	0	
hashfn_shlib.o	0	
hashfn_srv.o	0	
hashfunc.o	0	
hashinsert.o	0	
hashovfl.o	0	
hashpage.o	0	
hashsearch.o	0	
hashsort.o	0	
hashutil.o	0	
hashvalidate.o	0	
hba.o	0	
hbafuncs.o	0	
heap.o	0	
heapam.o	0	
heapam_handler.o	0	
heapam_visibility.o	0	
heapdesc.o	0	
heaptoast.o	0	
heaptuple.o	0	
help_config.o	0	
hio.o	0	
hmac.o	0	
