% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.19    0.001081           4       255           pread64
 14.29    0.000729           4       169           write
 10.90    0.000556          79         7           fdatasync
  9.41    0.000480           2       208        32 openat
  6.55    0.000334          66         5           munmap
  5.70    0.000291           5        54           fsync
  5.21    0.000266           6        44           sync_file_range
  5.02    0.000256           1       142           pwrite64
  3.12    0.000159           1       133           close
  3.08    0.000157           2        62           read
  2.29    0.000117          11        10         6 unlink
  2.14    0.000109           0       141           lseek
  2.02    0.000103           3        26           getdents64
  1.96    0.000100           5        18         1 mmap
  1.14    0.000058           2        26         6 newfstatat
  0.98    0.000050           1        33           fstat
  0.82    0.000042           2        17           brk
  0.73    0.000037           2        18        18 readlink
  0.71    0.000036           3        11         6 access
  0.37    0.000019           4         4           mprotect
  0.31    0.000016           1        10           rt_sigaction
  0.31    0.000016           8         2         2 connect
  0.24    0.000012           6         2           socket
  0.16    0.000008           1         6           rt_sigprocmask
  0.16    0.000008           2         4           geteuid
  0.12    0.000006           6         1           shmat
  0.12    0.000006           1         5           getpid
  0.12    0.000006           3         2           rename
  0.10    0.000005           5         1           shmget
  0.08    0.000004           4         1           shmctl
  0.08    0.000004           4         1           epoll_ctl
  0.08    0.000004           2         2           prlimit64
  0.06    0.000003           3         1           shmdt
  0.06    0.000003           3         1           chdir
  0.06    0.000003           3         1           signalfd4
  0.06    0.000003           3         1           epoll_create1
  0.04    0.000002           2         1           setitimer
  0.04    0.000002           2         1           set_tid_address
  0.04    0.000002           2         1           set_robust_list
  0.04    0.000002           2         1           getrandom
  0.04    0.000002           2         1           rseq
  0.02    0.000001           1         1           umask
  0.02    0.000001           1         1           getuid
  0.02    0.000001           1         1           getppid
  0.02    0.000001           1         1           arch_prctl
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.005101           3      1434        71 total
